"Marca temporal","Degree","ACIERTOS","Grade","Perception","V1_0_10","V2_0_10","V3_0_10","V4_10_10","V5_0_10","V6_0_10","V7_0_10","VALORA1","VALORA2","VALORA3","VALORA4","VALORA5","VALORA6","VALORA7","Visualization","P1","R_P1","P2","R_P2","P3","R_P3","P4","R_P4","P5","R_P5","P6","R_P6","P7","R_P7","P8","R_P8","P9","R_P9","P10","R_P10","P11","R_P11","P12","R_P12","P13","R_P13","P14","R_P14","P15","APRENDIZAJE1","APRENDIZAJE2"
3/8/2023 12:17:02,"TE",6,4.62,5.71,7.50,7.50,2.50,2.50,5.00,7.50,7.50,4,4,2,2,3,4,4,"Slides","C","Acierto","B","Acierto","D","Acierto","C","Fallo","C","Fallo","A","Fallo","D","Acierto","B",,"C","Acierto","B","Fallo","A","Fallo","D","Fallo","A","Fallo","B","Acierto","Primero recibe el mensaje ICMP Echo Request de pc1 a pc4, y lo envía a pc4, que responde con un mensaje ICMP Echo Reply a pc1 y así se aprende pc4.",,"Aprendo mejor con demostraciones, no tiene porque ser en 3D, pero las prácticas de la asignatura ayudan mucho."
3/8/2023 12:18:00,"TE",8,6.15,6.79,5.00,5.00,10.00,5.00,7.50,7.50,7.50,3,3,5,3,4,4,4,"Slides","C","Acierto","B","Acierto","D","Acierto","C","Fallo","D","Acierto","D","Fallo","D","Acierto","B",,"C","Acierto","C","Fallo","D","Fallo","B","Acierto","A","Fallo","B","Acierto","la trama la reenviaria r1 a traves del destino que tenga configurado para tal maquina, que en este caso, por r3. En r3, al ser un router conectado a un hub, mandaria la trama a r2 y a pc4, aunque r2 no le haria caso, pero la guarda en la tabla de rutas. ",,"No las hemos usado de momento"
3/8/2023 12:18:40,"TE",8,6.15,6.43,7.50,5.00,7.50,2.50,5.00,10.00,7.50,4,3,4,2,3,5,4,"Slides","C","Acierto","B","Acierto",,"Fallo","C","Fallo","D","Acierto","A","Fallo","A","Fallo","B",,"C","Acierto","D","Acierto","B","Acierto","B","Acierto","A","Fallo","B","Acierto","Llega la trama, ve la dirección destino y busca en su tabla de encaminamiento por donde tiene que enviarla para que llegue a su destino. Si no tiene registrada la dirección exacta usa  la ruta por donde llega a la red. Como sabe por donde lo tiene que mandar para que llegue a la red donde se encuentra la ip destino, no tiene que preguntar a nadie.","No las he usado","No he visto la animación"
3/8/2023 12:20:12,"TE",10,7.69,5.71,5.00,5.00,5.00,2.50,7.50,7.50,7.50,3,3,3,2,4,4,4,"Slides","C","Acierto","B","Acierto","D","Acierto","A","Acierto","C","Fallo","C","Acierto","A","Fallo","B",,"C","Acierto","B","Fallo","B","Acierto","B","Acierto","D","Acierto","B","Acierto","r1 va a recibir solo el protocolo ARP con su target IP que le va a indicar que va dirigido hacia él, y añadirá a su tabla de encaminamiento la dirección IP de pc1, entonces mandará una respuesta de nuevo a pc1 con protocolo ethernet y destino pc1. Pc1 entonces se aprende por donde tiene que enviar la trama para llegar a pc4, y esta vez lo envía de nuevo pero con protocolo ethernet. LLega al router y esta vez va leyendo los protocolos de la trama y se encuentra con el destino de pc4, y además se resta a TTL 1 y añade la dirección de pc4 a su tabla de encaminamiento. Mediante ARP con target IP y ethernet con dirección broadcast, envía la trama por el cable eth1 hasta r3 ya que es el gateway qye le aparece en su tabla de encaminamiento. ",,"No lo sé porque no he tenido aún la oportunidad de probarlo y no puedo asegurar que me hubiese servido para algo."
3/8/2023 12:20:45,"TE",11,8.46,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5,5,5,5,5,5,5,"VR","C","Acierto","B","Acierto","D","Acierto","B","Fallo","C","Fallo","C","Acierto","D","Acierto","A",,"C","Acierto","D","Acierto","B","Acierto","B","Acierto","D","Acierto","B","Acierto","Cuando r1 recibe la trama que contiene el datagrama IP dirigida a pc4, r1 sabe a qué dirección IP le tiene que mandar la nueva trama Ethernet ya que dicha información está presesnte en su tabla de enrutamiento; sin embargo, desconoce la dirección Ethernet perteneciente a 101.0.0.3 así que r1 manda por su su interfaz eth1 una solicitud ARP con dirección de Ethernet de broadcast. Después de ser procesada dicha solicitud por todos los receptores, uno de ellos (si existe) responde con un ARP informando de su dirección Ethernet con la dirección de destino la interfaz eth1 de r1. Cuando la respuesta ARP llega a r1 por su interfaz eth1, r1 se apunta en su cache ARP la dirección Ethernet de r3. Justo entonces, r1 rellena el campo de destino de la trama Ethernet que contiene el datagrama IP con el ICMP y lo envía por su interfaz eth1 dirigido a la dirección Ethernet de r3 y dirección IP de r3.","Me  ha ayudado el hecho de que se pueden ver los paquetes ""en espera"" cuya dirección de Ethernet de destino está por rellenar. Un pequeño detalle que me ha confundido ha sido que no se muestre la cache de ARP de todos los host que reciben la solicitud ARP.",
3/8/2023 12:21:18,"TE",9,6.92,7.14,7.50,7.50,5.00,5.00,7.50,10.00,7.50,4,4,3,3,4,5,4,"Slides","C","Acierto","B","Acierto","D","Acierto","B","Fallo","D","Acierto","B","Fallo","B","Fallo","A",,"B","Fallo","D","Acierto","B","Acierto","B","Acierto","D","Acierto","B","Acierto",,,"Si"
3/8/2023 12:21:40,"TE",11,8.46,7.50,10.00,7.50,7.50,7.50,7.50,7.50,5.00,5,4,4,4,4,4,3,"Slides","C","Acierto","B","Acierto","D","Acierto","A","Acierto","C","Fallo","C","Acierto","D","Acierto","B",,"C","Acierto","B","Fallo","B","Acierto","B","Acierto","D","Acierto","B","Acierto","Pc 1 envía un echo ping request (Type 8) con dirección broadcast y le llega a r1, r1 ve que el target IP se encuentra en su tabla de encaminamiento y procesa esta request, lo guarda en su cache ARP y le manda una respuesta a pc1. Pc1 vuelve a enviarle un echo ping request de tipo IP con el mensaje que va a pc4. Como r1 tiene en su tabla de encaminamiento la dirección de red de pc4 y ve que es ""vecino"" suyo envia un protocolo broadcast hacia r3 ya que es su gateaway. recibe más adelante la respuesta de pc4 pasando por pc2 y como ya conoce todo de su tabla de encaminamiento se lo envía directamente a pc1.",,"no lo sé, tendré que verlo"
3/8/2023 12:22:32,"TE",7,5.38,1.79,2.50,0.00,2.50,5.00,2.50,0.00,0.00,2,1,2,3,2,1,1,"VR","A","Fallo","B","Acierto","D","Acierto","B","Fallo","D","Acierto","D","Fallo","A","Fallo","B",,"C","Acierto","B","Fallo","A","Fallo","B","Acierto","D","Acierto","B","Acierto",,,"Seguramente"
3/8/2023 12:22:36,"TE",12,9.23,8.57,7.50,7.50,7.50,7.50,10.00,10.00,10.00,4,4,4,4,5,5,5,"Slides","C","Acierto","B","Acierto","D","Acierto","A","Acierto","D","Acierto","C","Acierto","D","Acierto","B",,"C","Acierto","B","Fallo","B","Acierto","B","Acierto","D","Acierto","B","Acierto","Cuando recibe el mensaje de pc1, registra pc1, verifica en la tabla de rutas donde se tiene que enviar el datagrama y sabe que se lo tiene que enviar a la direccion IP 101.0.0.3 que resulta que es r3 que se situa en eth1, crea un ARP que hace que pase el datagrama del eth0 a eth1 reduciendo el TTL de 64 a 63 y se lo transmite.",,"Las gafas 3D diria que atrae su atenccion haciendo que preste mas atencion pero no creo que sea tan distinto si ambos estan  bien expresado en consecuencia a si estas atendiendo o que se vea bien la visualizacion de la grafica"
3/8/2023 12:25:12,"TE",6,4.62,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2,2,2,2,2,2,2,"Slides","B","Fallo","C","Fallo","A","Fallo","D","Fallo","D","Acierto","D","Fallo","B","Fallo","B",,"C","Acierto","C","Fallo","B","Acierto","B","Acierto","D","Acierto","B","Acierto","No se",,"¡Si!"
3/8/2023 12:29:01,"TE",8,6.15,5.36,7.50,5.00,7.50,5.00,5.00,2.50,5.00,4,3,4,3,3,2,3,"Slides","C","Acierto","B","Acierto","D","Acierto","C","Fallo","D","Acierto","C","Acierto","A","Fallo","C",,"C","Acierto","B","Fallo","B","Acierto","A","Fallo","A","Fallo","B","Acierto","La trayectoria que realiza es la siguiente:
El mensaje que queremos enviar pasa de pc1 a r1, de r1 a r3 pasando por un hub. Finalmente r3 se lo envia al destino el cual es pc4. Para volver, en vez de pasar por r3 como a la ida, pasa por r2 hacia r1, el cual se lo acaba enviando a pc1.",,
3/8/2023 12:35:56,"TE",13,10.00,5.36,7.50,5.00,5.00,5.00,5.00,5.00,5.00,4,3,3,3,3,3,3,"Slides","C","Acierto","B","Acierto","D","Acierto","A","Acierto","D","Acierto","C","Acierto","D","Acierto","A",,"C","Acierto","D","Acierto","B","Acierto","B","Acierto","D","Acierto","B","Acierto","r1 envia mensaje a r3, debido a que tiene aprendida su direción IP correspondiente a la subred de pc4, pero primero envia un mensaje ARP el cual r3 lo procesara y respondera para poder aprender sus direcciones eth, una vez enviado el mensaje a r3, manda otro mensaje ARP para saber la direccion eth de pc4 en esa subred y ser aprendidas en sus caches. Finalmente llega el mensaje a pc4, y este envia una respuesta a pc1, mediante r2, enviando otro mensaje ARP para saber la direccion eth de r2 y guardarlo en sus caches; posteriormente se realiza el mismo proceso para enviar el mensaje de r2 a r1, y ya en r1, se envia directamente la respuesta del mensaje a pc1 debido a que su direccion eth esta guardada en el cache ARP de r1 antes aprendida.",,
3/7/2023 12:08:54,"AMSE",6,4.62,6.07,5.00,7.50,5.00,7.50,5.00,7.50,5.00,3,4,3,4,3,4,3,"Slides","D","Fallo","C","Fallo","B","Fallo","B","Fallo","D","Acierto","C","Acierto","D","Acierto","B",,"C","Acierto",,"Fallo",,"Fallo","B","Acierto","D","Acierto","A","Fallo",,,"Nunca he usado unas gafas VR asique no tengo ni la más remota idea de si me puede ayudar más o menos."
3/7/2023 12:16:52,"AMSE",10,7.69,8.57,7.50,7.50,7.50,10.00,10.00,7.50,10.00,4,4,4,5,5,4,5,"Slides","A","Fallo","B","Acierto","D","Acierto","A","Acierto","D","Acierto","C","Acierto","B","Fallo","A",,"C","Acierto","C","Fallo","B","Acierto","B","Acierto","D","Acierto","B","Acierto","El router recibe el datagrama, luego tras mirar en su tabla de rooting que tiene la dirección, la envia. ",,
3/7/2023 12:18:47,"AMSE",6,4.62,6.07,7.50,7.50,5.00,2.50,7.50,5.00,7.50,4,4,3,2,4,3,4,"3DAnimation","A","Fallo","B","Acierto","D","Acierto","B","Fallo","D","Acierto",,"Fallo",,"Fallo","A",,"A","Fallo","C","Fallo","B","Acierto",,"Fallo","D","Acierto","B","Acierto",,"Sí, debido a que he podido observar mejor el funcionamiento de la red.",
3/7/2023 12:19:27,"AMSE",7,5.38,5.36,5.00,5.00,5.00,2.50,2.50,7.50,10.00,3,3,3,2,2,4,5,"Slides","C","Acierto","B","Acierto","D","Acierto","A","Acierto","C","Fallo","B","Fallo","A","Fallo","A",,"B","Fallo","C","Fallo","B","Acierto","A","Fallo","D","Acierto","B","Acierto","R1 primero mira las direccioneds en su tabla de routing, como es conocedor de la dirección ip de pc4, mira en la parte de destination, al salir en esa parte, lo envia a través del router 3 por el interfaz 1",,"Yo creo que la animación 3D me hubiese ayudado a ver mejor el entorno"
3/7/2023 12:20:15,"AMSE",7,5.38,5.36,5.00,5.00,7.50,5.00,5.00,5.00,5.00,3,3,4,3,3,3,3,"Slides","C","Acierto","C","Fallo","D","Acierto","D","Fallo","D","Acierto","C","Acierto","B","Fallo","B",,"D","Fallo","C","Fallo","D","Fallo","B","Acierto","D","Acierto","B","Acierto",,,
3/7/2023 12:20:24,"AMSE",5,3.85,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2,2,2,2,2,2,2,"Slides","A","Fallo","A","Fallo","D","Acierto","D","Fallo","B","Fallo","C","Acierto","B","Fallo","B",,"D","Fallo","D","Acierto","C","Fallo","A","Fallo","D","Acierto","B","Acierto","Una vez que el router r1 recibe por eth0 la trama Ethernet que contiene el datagrama IP dirigido a pc4, lo guarda en su caché y después lo envía a pc4",,"Creo que viendo la animación 3D podría haber entendido mejor las preguntas"
3/7/2023 12:23:15,"AMSE",12,9.23,7.50,7.50,7.50,10.00,7.50,10.00,5.00,5.00,4,4,5,4,5,3,3,"Slides","B","Fallo","B","Acierto","D","Acierto","A","Acierto","D","Acierto","C","Acierto","D","Acierto","A",,"C","Acierto","D","Acierto","B","Acierto","B","Acierto","D","Acierto","B","Acierto","r1 ha almacenado la dirección ethernet e IP de pc1,enviará una solicitud ARP para encontrar la dirección ethernet de r3 por eth1.Una vez encontrada la dirección ethernet de r3,r1 reenvía el datagrama IP.","No la he visto","No la he visto"
3/7/2023 12:24:37,"AMSE",10,7.69,8.21,7.50,7.50,7.50,7.50,10.00,10.00,7.50,4,4,4,4,5,5,4,"Slides","C","Acierto","B","Acierto","C","Fallo","C","Fallo","D","Acierto","C","Acierto","B","Fallo","B",,"C","Acierto","D","Acierto","B","Acierto","B","Acierto","D","Acierto","B","Acierto","Primero guarda la dirección ethernet e IP de pc1 en su tabla de routing, después busca una ruta por donde encaminar la trama. Observando su tabla de routing verá que la debe enviar a través de su rama ethernet 1, hacia 101.0.0.3, ya que esta es la que se encargará según su tabla de routing de entregar el mensaje a su destino.
Poco después, pc4 mandará otra trama, esta vez con destino pc1. Al recibirla r1, que en su tabla de routing ya conoce la ubicación de pc1, se la mandará directamente.",,"No he usado las gafas, luego no puedo responder totalmente convencido, pero creo que la visualización 3D sí podría haberme ayudado a asentar mejor los conocimientos"
3/7/2023 12:25:00,"AMSE",9,6.92,6.43,7.50,7.50,7.50,0.00,7.50,7.50,7.50,4,4,4,,4,4,4,"3DAnimation","C","Acierto","B","Acierto","C","Fallo","A","Acierto","C","Fallo","B","Fallo","B","Fallo","A",,"C","Acierto","D","Acierto","B","Acierto","B","Acierto","D","Acierto","B","Acierto","El router procesa el datagrama IP para saber la direccion a la que necesita encaminarlo, crea un datagrama Ethernet pero deja vacio el campo de destino, revisa su cache de ARP para saber si tiene registrada esa direccion IPen caso de que no lo deja en espera, despues, crea un paquete ARP para preguntar por la direccion Ethernet ligada a la direccion IP de destino del paquete que le llego, una vez creado lo envia y espera su respuesta, una vez que obtenga dicha respuesta registra la direccion Ethernet en la cache y procede a rellenar el mensaje que tenia en espera con la direccion Ethernet que le ha llegado y reenvia el paquete. ","SSi, ya que de cierta manera te ayuda a crear una imagen mental de todo el proceso lo que ayuda a la comprension",
3/7/2023 12:25:33,"AMSE",4,3.08,4.29,2.50,2.50,2.50,5.00,2.50,7.50,7.50,2,2,2,3,2,4,4,"3DAnimation","A","Fallo","C","Fallo","D","Acierto","C","Fallo","D","Acierto","A","Fallo","B","Fallo","B",,"D","Fallo","C","Fallo","B","Acierto","A","Fallo","D","Acierto","A","Fallo","Cuando r1 recibe la trama de pc1, enviará un caché ARP preguntando por la dirección. Este mensaje se enviará por todos los puertos llegando al Hub, que lo enviará a todas las máquinas disponibles. Pc3 no lo procesará, y r2 y r3 harán lo mismo en su caso, llegando así hasta el Hub que conecta a pc4, donde este al llegarle el mensaje sí que lo procesará. Enviará un mensaje de vuelta, haciendo  que pase por el hub y le llegue a r2 y r3 y estos lo vuelvan a mandar al hub que a su vez volverá a mandar a todos, y solo lo procesará r1. Este al volverá a enviar un mensaje de caché de ARP (pese a tener almacenada la dirección de pc1, lo hace por confirmar) y al llegar al hub le llegaŕa a pc2, que no  lo procesará, y finalmente a pc1, el cual sí procesará el mensaje, ya que es la respuesta generada por pc4 ante el ping que pc1 le envió.","Hace que sea más divertido e interactivo el ver como funciona, además considero que sí que ayuda a la visualización y comprensión de los contenidos.",
3/7/2023 12:25:58,"AMSE",8,6.15,7.86,7.50,7.50,7.50,5.00,10.00,7.50,10.00,4,4,4,3,5,4,5,"VR","C","Acierto","B","Acierto","C","Fallo","A","Acierto","D","Acierto","C","Acierto","C","Fallo","A",,"A","Fallo","C","Fallo","B","Acierto","A","Fallo","D","Acierto","B","Acierto","Envia el arp para saber si en alguna de las conexiones existe la dirección a la que va dirigida, al comprobar que si, envia la trama hacia esa dirección.","si, aunque he tenido que verla varias veces porque la velocidad era un poco elevada y habia que estar muy atento.",
3/7/2023 12:26:03,"AMSE",6,4.62,5.36,5.00,5.00,5.00,7.50,7.50,7.50,0.00,3,3,3,4,4,4,1,"Slides","B","Fallo","B","Acierto","A","Fallo","C","Fallo","D","Acierto","C","Acierto","B","Fallo","B",,"D","Fallo","D","Acierto","B","Acierto","A","Fallo","A","Fallo","B","Acierto",,,
3/7/2023 12:26:49,"AMSE",7,5.38,5.71,5.00,5.00,5.00,5.00,7.50,5.00,7.50,3,3,3,3,4,3,4,"3DAnimation","C","Acierto","B","Acierto","B","Fallo","B","Fallo","D","Acierto","C","Acierto","B","Fallo","B",,"A","Fallo","A","Fallo","A","Fallo","B","Acierto","D","Acierto","B","Acierto","r1 reenvía una trama a Pc1 y Pc2 para confirmar la dirección IP, una vez hecho esto, Pc1 envía otra vez su trama hasta Pc4, por lo que una vez llegado al r1 este emvía un mensaje para comprobar la si la Ip de Pc4 se encuentra por eth1","Creo que si que me ha sido de gran utilidad ya que he visto de manera más concreta lo que pasa con respecto a los protocolos ya que antes no lo tenía muy claro, no considero que haya ningún aspecto confuso. ",
3/7/2023 12:27:15,"AMSE",5,3.85,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,3,3,3,3,3,3,3,"3DAnimation","D","Fallo","C","Fallo","A","Fallo","A","Acierto",,"Fallo","C","Acierto","B","Fallo","B",,"C","Acierto","C","Fallo","B","Acierto","D","Fallo","A","Fallo","B","Acierto","Al llegar la informacion a r1este lo envia al siguiente hub y este por defecto lo envia a las siguientes maquinas, para enviar la informacion a pc4 pasara por r3, este llega al siguente hub y este envida la informacion a r2 y pc4","Si, ya que se puede entender de manera mas clara como pasa la informacion",
3/7/2023 12:27:28,"AMSE",5,3.85,6.07,5.00,5.00,7.50,2.50,7.50,7.50,7.50,3,3,4,2,4,4,4,"Slides","B","Fallo","D","Fallo","A","Fallo","C","Fallo","D","Acierto","C","Acierto","B","Fallo","B",,"D","Fallo","D","Acierto","D","Fallo","C","Fallo","D","Acierto","B","Acierto",,,"Sí."
3/7/2023 12:28:12,"AMSE",5,3.85,4.29,5.00,5.00,2.50,5.00,5.00,2.50,5.00,3,3,2,3,3,2,3,"3DAnimation","D","Fallo","A","Fallo","D","Acierto","B","Fallo",,"Fallo","C","Acierto",,"Fallo",,,"D","Fallo","D","Acierto","A","Fallo",,"Fallo","D","Acierto","B","Acierto","El paquete llega a r1 y este almacena la dirección desde donde ha llegado, seguidamente envía una solicitud ARP, al recibir confirmación envía el paquete hacia el siguente.",,"Sí, te centras más."
3/7/2023 12:28:15,"AMSE",5,3.85,5.71,5.00,5.00,5.00,7.50,7.50,5.00,5.00,3,3,3,4,4,3,3,"3DAnimation","C","Acierto","B","Acierto","C","Fallo","A","Acierto",,"Fallo","C","Acierto",,"Fallo","B",,"D","Fallo","B","Fallo","A","Fallo","D","Fallo","D","Acierto","A","Fallo","pc1 envía hacia r1 la dirección a la que va dirigida la cual sigue mandando hacia el segundo hub porque tiene más direcciónes ip, sigue mandando la dirección a r2 y r3 porque incluye la dirección que manda desde r1 y lo manda hacia el otro hub al que concecta el pc4.","Es una manera más interesante de entender aunque es costoso por haber muchas cosas.",
3/7/2023 12:28:20,"AMSE",8,6.15,5.71,5.00,7.50,5.00,5.00,7.50,5.00,5.00,3,4,3,3,4,3,3,"3DAnimation","A","Fallo","B","Acierto","D","Acierto","D","Fallo","D","Acierto","D","Fallo","B","Fallo","C",,"D","Fallo","D","Acierto","B","Acierto","B","Acierto","D","Acierto","B","Acierto","1 r1 recive la petición de busqueda de pc4 o 102.0.0.3 entonces r1 le envia una trama con su dirección de vuelta para que le envie las tramas de datos, entonces pc1 cambia su dirección a la de r1 y al llegar al mismo envia a sus direcciones preguntando por pc4 y al recibir la dirección y las tramas devueltas por r2 le envia las tramas dirigidas a pc4 y luego este se las envias a la computadora la cual respondde enviando de vuelta las tramasque vuelven a pasar directamente por r1 que las envia a pc1 de vuelta.","Me han ayudado bastante ya que he podido entender cosas dentro de la animación que no habia entendido viendo las imagenes en las transaparencias por lo que lo veo super util",
3/7/2023 12:29:07,"AMSE",9,6.92,5.00,5.00,5.00,5.00,2.50,7.50,5.00,5.00,3,3,3,2,4,3,3,"VR","C","Acierto","B","Acierto","C","Fallo","D","Fallo","D","Acierto","C","Acierto","D","Acierto","B",,"C","Acierto","C","Fallo","A","Fallo","B","Acierto","D","Acierto","B","Acierto",,"Sí, ya que puedes interactuar y ver como funciona mejor",
3/7/2023 12:29:30,"AMSE",8,6.15,6.07,5.00,5.00,5.00,5.00,7.50,7.50,7.50,3,3,3,3,4,4,4,"3DAnimation","C","Acierto","B","Acierto","D","Acierto","D","Fallo","C","Fallo","C","Acierto","D","Acierto","B",,"A","Fallo","D","Acierto","D","Fallo","B","Acierto",,"Fallo","B","Acierto","Primero pregunta a Pc1 donde lo tiene que enviar, luego le responde y r1 envía a el hub ese datagrama, el cual lo comparte con todos los dispositivos conectados a él.","Si ayuda para entenderlo mejor, pero hay momentos donde necesitas que te lo explique co voz.",
3/7/2023 12:30:03,"AMSE",4,3.08,4.64,2.50,2.50,7.50,5.00,7.50,5.00,2.50,2,2,4,3,4,3,2,"3DAnimation","C","Acierto","C","Fallo","C","Fallo","C","Fallo","C","Fallo","C","Acierto","D","Acierto","D",,,"Fallo","A","Fallo","D","Fallo","A","Fallo","D","Acierto","A","Fallo",,,
3/7/2023 12:31:16,"AMSE",7,5.38,6.07,7.50,7.50,5.00,2.50,7.50,7.50,5.00,4,4,3,2,4,4,3,"3DAnimation","D","Fallo","A","Fallo","B","Fallo","A","Acierto","D","Acierto","C","Acierto","C","Fallo","A",,"B","Fallo","D","Acierto","B","Acierto","D","Fallo","D","Acierto","B","Acierto","Recibirá un paquete con la  información enviada por pc1 (origen pc1 y destino pc2) y será el único, entre pc2 y r1, que lo entenderá después del proceso Ethernet con dirección Broadcast porque sigue la ruta que se manda. Una vez tenga la dirección con la información, r1 mandará el mensaje por eth1 y el siguiente hub se encargará de repartirlo hasta encontrar la ruta asignada. En este caso ambos, r2 y r3, son útiles para la ruta y se usarán ambos. Los routers recopilan la información de origen y buscan el destino mandando el mensaje por eth1. Encuentran el destino pc4.","Me parece una manera más interactiva, y por ello didáctica porque es más entretenida y te obliga a prestar más atención que una diapositiva.",
3/7/2023 12:31:31,"AMSE",8,6.15,6.79,7.50,7.50,5.00,7.50,5.00,7.50,7.50,4,4,3,4,3,4,4,"3DAnimation","B","Fallo","B","Acierto","D","Acierto","C","Fallo","D","Acierto","C","Acierto","A","Fallo","B",,"C","Acierto","C","Fallo","A","Fallo","B","Acierto","D","Acierto","B","Acierto","r1 enviaría una solicitud de ARP por su interfaz eth1 preguntando por la dirección Ethernet de pc4 correrspondiente a la dirección IP 102.0.0.40, llegando al hub que enviaría esta información a pc3, r2 y r3 de las cuáles r2 y r3 responderían, llegando a pasar la información de r1 por ellas llegando al hub y este a su vez se lo enviaría a pc4. Tras esto, pc4 enviaría la respuesta para pc1 recorriendo el hub, tras esto los routers anteriormente mencionados y ya de ahí por el hub que enviaría a todos llegando así a r1 que enviaría por el hub que mandaría a pc1 y pc2, por lo que llegaria a pc1 de esa forma.","Me ayudo para ver algún que otro concepto de manera más clara",
3/7/2023 12:31:52,"AMSE",7,5.38,6.43,7.50,7.50,5.00,5.00,7.50,5.00,7.50,4,4,3,3,4,3,4,"Slides","B","Fallo","B","Acierto","A","Fallo","C","Fallo","D","Acierto","C","Acierto","B","Fallo","B",,"A","Fallo","D","Acierto","B","Acierto","A","Fallo","D","Acierto","B","Acierto",,,"si"
3/7/2023 12:31:57,"AMSE",7,5.38,6.07,5.00,2.50,7.50,5.00,7.50,5.00,10.00,3,2,4,3,4,3,5,"VR","B","Fallo","C","Fallo","B","Fallo","A","Acierto","D","Acierto","C","Acierto","B","Fallo","A",,"A","Fallo","A","Fallo","B","Acierto","B","Acierto","D","Acierto","B","Acierto",,"Sí, ya que has podido ver el movimiento de los paquetes y direcciones, e investigar sobre ello, haciendo que estés más atento.",
3/7/2023 12:32:43,"AMSE",5,3.85,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,3,3,3,3,3,3,3,"VR","C","Acierto","B","Acierto","C","Fallo","D","Fallo","D","Acierto","C","Acierto","C","Fallo","A",,"D","Fallo","C","Fallo","A","Fallo","A","Fallo","C","Fallo","B","Acierto",,"Si, al principio fue un poco complicado pero luego de repetir el video ya pude comprenderlo","Si, ya es una ayuda visual muy explicativa"
3/7/2023 12:33:06,"AMSE",10,7.69,6.43,5.00,5.00,5.00,5.00,10.00,7.50,7.50,3,3,3,3,5,4,4,"VR","C","Acierto","B","Acierto","B","Fallo","A","Acierto","C","Fallo","C","Acierto","D","Acierto","A",,"D","Fallo","D","Acierto","B","Acierto","B","Acierto","D","Acierto","B","Acierto","Lo que sucede es que al llegar mensaje, el roouter guarda la dirección de pc1 y la asigna al puerto al que este pc está conectado, a continuación envia una solicitud de ARC al resto de sus puertos menos por el que ha llegado el paquete, es decir, por su otro puerto. Al recibir la respuesta por este puerto, aceptando la solicitud, este manda el paquete.","Si, sobre todo lo relacionado a las solicitudes ARP y posterior envío del paquete. ",
3/7/2023 12:33:26,"AMSE",7,5.38,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,3,3,3,3,3,3,3,"VR","B","Fallo","B","Acierto","B","Fallo","C","Fallo","D","Acierto","C","Acierto","C","Fallo","B",,"C","Acierto","C","Fallo","B","Acierto","B","Acierto","A","Fallo","B","Acierto","Primero recibe la información de pc1 y guarda la dirección de donde ha venido, después se la manda al hub.","Si me ha ayudado, ya que al ser una forma didáctica diferente, te concentras más en lo que esta pasando.",
3/7/2023 12:33:40,"AMSE",9,6.92,5.71,7.50,7.50,2.50,5.00,7.50,5.00,5.00,4,4,2,3,4,3,3,"VR","C","Acierto","B","Acierto","C","Fallo","D","Fallo","C","Fallo","C","Acierto","D","Acierto","A",,"C","Acierto","A","Fallo","B","Acierto","B","Acierto","D","Acierto","B","Acierto","Primero de todo r1 enviara una solicitud ARP a r2,r3 y pc3 estos la procesaran y en este caso pc3 devolverá una respuesta a r1  con la direccion ethernet para su trama. Con ello r1 podra poner destino a su trama ethernet y enviar el paquete.","Si ya que viendolo visualmente te ayuda a aclarar cosas que desde otro método no somos tan capaces de comprender. La simulación era muy buena, quizá un poco rápida pero al existir la opcion de parar y hacer el reset me ha parecido bastante buena.",
3/7/2023 12:34:27,"AMSE",9,6.92,5.71,5.00,5.00,5.00,5.00,5.00,7.50,7.50,3,3,3,3,3,4,4,"VR","C","Acierto","B","Acierto","B","Fallo","B","Fallo","D","Acierto","C","Acierto","D","Acierto","B",,"D","Fallo","C","Fallo","B","Acierto","B","Acierto","D","Acierto","B","Acierto","R1 enviaria una solicitud a R2 y r3 para saber en que lugar se encuentra la red destino, una vez recibiera la respuesta de vuelta, enviaria la trama basandose en la respuesta. Una vez","Considero que la animacion es de gran ayuda para entenderlo, pero estaria bien un control de adelantamiento o atrasamiento del video, por si quedan dudas no tener que ver la animacion desde el principio",
3/7/2023 12:34:43,"AMSE",5,3.85,1.79,2.50,2.50,2.50,0.00,2.50,0.00,2.50,2,2,2,1,2,1,2,"VR","C","Acierto","B","Acierto","A","Fallo","D","Fallo","C","Fallo","D","Fallo","B","Fallo","A",,"D","Fallo","C","Fallo","B","Acierto","B","Acierto",,"Fallo","B","Acierto",,"NO","NO"
3/7/2023 12:35:45,"AMSE",4,3.08,3.93,5.00,2.50,0.00,2.50,7.50,2.50,7.50,3,2,1,2,4,2,4,"VR","B","Fallo","C","Fallo","B","Fallo","D","Fallo","D","Acierto","C","Acierto","B","Fallo","D",,"A","Fallo","C","Fallo","B","Acierto","A","Fallo","D","Acierto","A","Fallo","r1 recibe la trama por eth0, r1 recibe las cabeceras ethernet y el protocolo ARP, donde el campo de Ethernet (destination) es el broadcast. Luego el campo de ARP (destino) es la dirección IP de pc4.","Si, la anumación ha sido útil a la hora de poder parar y continuar las animaciones.",
